resultId,raceId,driverId,constructorId,pitstops,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rankfast,fastestLapTime,fastestLapSpeed,statusId,status,driverRef,constructorRef,circuitId,name,year,circuitRef,
23909,995,832,4,1,55,9,8,8,8,4,67,\N,\N,61,13,01:15.7,207.485,11,+1 Lap,sainz,renault,7,Canadian Grand Prix,2018,villeneuve,
23929,996,832,4,1,55,7,8,8,8,4,53,+1:27.184,5498569,46,9,01:35.6,219.904,1,Finished,sainz,renault,34,French Grand Prix,2018,ricard,
23953,997,832,4,3,55,9,12,12,12,0,70,\N,\N,37,10,01:08.8,226.053,11,+1 Lap,sainz,renault,70,Austrian Grand Prix,2018,red_bull_ring,
23979,998,832,4,3,55,16,\N,R,17,0,37,\N,\N,25,17,01:34.6,224.177,4,Collision,sainz,renault,9,British Grand Prix,2018,silverstone,
23994,999,832,4,6,55,8,12,12,12,0,67,43.069,5592914,63,7,01:17.4,212.661,1,Finished,sainz,renault,10,German Grand Prix,2018,hockenheimring,
24011,1000,832,4,1,55,5,9,9,9,2,69,\N,\N,58,13,01:22.8,190.538,11,+1 Lap,sainz,renault,11,Hungarian Grand Prix,2018,hungaroring,
24033,1001,832,4,3,55,14,11,11,11,0,43,\N,\N,32,10,01:48.7,232.027,11,+1 Lap,sainz,renault,13,Belgian Grand Prix,2018,spa,
24050,1002,832,4,1,55,7,9,9,8,4,53,+1:18.140,4692624,43,5,01:23.5,249.671,1,Finished,sainz,renault,14,Italian Grand Prix,2018,monza,
24070,1003,832,4,1,55,12,8,8,8,4,60,\N,\N,50,12,01:45.2,173.24,11,+1 Lap,sainz,renault,15,Singapore Grand Prix,2018,marina_bay,
24099,1004,832,4,1,55,11,17,17,17,0,51,\N,\N,35,16,01:39.7,211.095,12,+2 Laps,sainz,renault,71,Russian Grand Prix,2018,sochi,
24112,1005,832,4,1,55,13,10,10,10,1,52,\N,\N,50,11,01:34.2,221.93,11,+1 Lap,sainz,renault,22,Japanese Grand Prix,2018,suzuka,
24129,1006,832,4,1,55,11,7,7,7,6,56,+1:34.994,5753637,45,11,01:39.9,198.75,1,Finished,sainz,renault,69,United States Grand Prix,2018,americas,
24161,1007,832,4,1,55,8,\N,R,19,0,28,\N,\N,6,12,01:22.4,188.07,22,Suspension,sainz,renault,32,Mexican Grand Prix,2018,rodriguez,
24174,1008,832,4,3,55,15,12,12,12,0,70,\N,\N,50,9,01:12.2,214.945,11,+1 Lap,sainz,renault,18,Brazilian Grand Prix,2018,interlagos,
24188,1009,832,4,1,55,11,6,6,6,8,55,+1:12.548,6052930,54,4,01:41.4,197.278,1,Finished,sainz,renault,24,Abu Dhabi Grand Prix,2018,yas_marina,
24222,1010,832,1,0,55,18,\N,R,20,0,9,\N,\N,9,20,01:30.9,210.022,5,Engine,sainz,mclaren,1,Australian Grand Prix,2019,albert_park,
24241,1011,832,1,6,55,7,\N,R,19,0,53,\N,\N,42,10,01:35.6,203.829,130,Collision damage,sainz,mclaren,3,Bahrain Grand Prix,2019,bahrain,
24256,1012,832,1,3,55,14,14,14,14,0,55,\N,\N,44,11,01:37.5,201.263,11,+1 Lap,sainz,mclaren,17,Chinese Grand Prix,2019,shanghai,
24269,1013,832,1,1,55,9,7,7,7,6,51,+1:23.826,5596768,43,10,01:45.8,204.247,1,Finished,sainz,mclaren,73,Azerbaijan Grand Prix,2019,BAK,
