resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,circuitId
156,25,4,4,5,3,8,8,8,1,70,43.372,5553617,39,8,01:17.6,204.525,1,8
157,25,14,9,9,7,9,9,9,0,70,51.021,5561266,23,12,01:17.8,204.06,1,8
158,25,1,1,22,13,10,10,10,0,70,54.538,5564783,40,5,01:17.5,205.022,1,8
159,25,10,7,12,8,11,11,11,0,70,57.7,5567945,45,13,01:17.8,204.013,1,8
160,25,20,5,15,12,12,12,12,0,70,58.065,5568310,36,11,01:17.8,204.212,1,8
161,25,2,2,3,11,13,13,13,0,70,+1:02.079,5572324,46,9,01:17.7,204.328,1,8
162,25,22,11,17,20,14,14,14,0,69,\N,\N,54,14,01:18.0,203.665,11,8
163,25,6,3,8,15,15,15,15,0,69,\N,\N,60,15,01:18.1,203.443,11,8
164,25,3,3,7,19,16,16,16,0,69,\N,\N,38,17,01:18.3,202.776,11,8
165,25,7,5,14,14,17,17,17,0,69,\N,\N,28,16,01:18.2,203.022,11,8
166,25,21,10,21,17,18,18,18,0,69,\N,\N,53,19,01:18.6,202.141,11,8
167,25,16,10,20,18,19,19,19,0,69,\N,\N,41,18,01:18.5,202.385,11,8
168,25,18,11,16,16,\N,R,20,0,16,\N,\N,15,20,01:20.9,196.345,4,8
169,26,1,1,22,4,1,1,1,10,60,39:09.4,5949440,16,3,01:32.8,199.398,1,9
170,26,2,2,3,5,2,2,2,8,60,+1:08.577,6018017,21,2,01:32.7,199.609,1,9
171,26,22,11,17,16,3,3,3,6,60,+1:22.273,6031713,21,11,01:33.4,198.183,1,9
172,26,8,6,1,3,4,4,4,5,59,\N,\N,18,1,01:32.1,200.842,11,9
173,26,5,1,23,1,5,5,5,4,59,\N,\N,17,5,01:33.1,198.728,11,9
174,26,4,4,5,6,6,6,6,3,59,\N,\N,17,6,01:33.1,198.722,11,9
175,26,15,7,11,14,7,7,7,2,59,\N,\N,22,13,01:33.8,197.292,11,9
176,26,6,3,8,15,8,8,8,1,59,\N,\N,21,14,01:34.3,196.31,11,9
177,26,3,3,7,20,9,9,9,0,59,\N,\N,21,16,01:34.8,195.234,11,9
178,26,17,9,10,2,10,10,10,0,59,\N,\N,17,4,01:33.0,199.109,11,9
