resultId,total_points_driver,average_col_acc
24123,308,0.01
24124,1136.5,0.09
24125,1555.5,0.01
24126,636,0.04
24127,1022,0.04
24128,116,0.11
24129,418.5,0.04
24130,429,0.03
24131,4,0.1
24132,9,0.1
24133,12,0
24134,309,0.06
24135,1,0.05
24136,136,0.08
24137,560,0.1
24138,458,0.04
24139,47,0.11
24140,131,0.05
24141,185,0.07
24142,77,0.05
24143,1136.5,0.09
24144,636,0.04
24145,308,0.01
24146,1555.5,0.01
24147,1022,0.04
24148,116,0.11
24149,560,0.1
24150,12,0
24151,9,0.1
24152,309,0.06
24153,185,0.07
24154,136,0.08
24155,1,0.05
24156,4,0.1
24157,77,0.05
24158,47,0.11
24159,458,0.04
24160,429,0.03
24161,418.5,0.04
24162,131,0.05
24163,1555.5,0.01
24164,1136.5,0.09
24165,308,0.01
24166,458,0.04
24167,1022,0.04
24168,636,0.04
24169,560,0.1
24170,47,0.11
24171,77,0.05
24172,429,0.03
24173,4,0.1
24174,418.5,0.04
24175,309,0.06
24176,12,0
24177,185,0.07
24178,1,0.05
24179,131,0.05
24180,136,0.08
24181,116,0.11
24182,9,0.1
24183,1555.5,0.01
24184,636,0.04
24185,1136.5,0.09
24186,458,0.04
24187,1022,0.04
24188,418.5,0.04
24189,560,0.1
24190,429,0.03
24191,47,0.11
24192,77,0.05
24193,131,0.05
24194,4,0.1
24195,136,0.08
24196,12,0
24197,1,0.05
24198,309,0.06
24199,185,0.07
24200,9,0.1
24201,308,0.01
24202,116,0.11
24203,1022,0.04
24204,1555.5,0.01
24205,1136.5,0.09
24206,636,0.04
24207,560,0.1
24208,77,0.05
24209,116,0.11
24210,308,0.01
24211,136,0.08
24212,69,0.08
24213,309,0.06
24214,306,0.05
24215,429,0.03
24216,197,0
24217,21,0.05
24218,19,0.08
24219,1,0
24220,47,0.11
24221,458,0.04
24222,418.5,0.04
24223,1555.5,0.01
24224,1022,0.04
24225,560,0.1
24226,1136.5,0.09
24227,636,0.04
24228,306,0.05
24229,308,0.01
24230,309,0.06
24231,197,0
24232,429,0.03
24233,21,0.05
24234,69,0.08
24235,77,0.05
24236,136,0.08
24237,19,0.08
24238,1,0
24239,116,0.11
24240,458,0.04
24241,418.5,0.04
24242,47,0.11
24243,1555.5,0.01
24244,1022,0.04
24245,636,0.04
24246,1136.5,0.09
24247,560,0.1
24248,309,0.06
24249,458,0.04
24250,429,0.03
24251,308,0.01
24252,197,0
24253,47,0.11
24254,136,0.08
24255,77,0.05
24256,418.5,0.04
24257,21,0.05
24258,19,0.08
24259,1,0
24260,306,0.05
24261,69,0.08
24262,116,0.11
24263,1022,0.04
24264,1555.5,0.01
24265,636,0.04
24266,1136.5,0.09
24267,560,0.1
24268,429,0.03
24269,418.5,0.04
24270,306,0.05
24271,136,0.08
24272,308,0.01
24273,197,0
24274,21,0.05
24275,77,0.05
24276,116,0.11
24277,19,0.08
24278,1,0
24279,309,0.06
24280,47,0.11
24281,69,0.08
24282,458,0.04
24283,1555.5,0.01
24284,1022,0.04
24285,1136.5,0.09
24286,636,0.04
24287,560,0.1
24288,309,0.06
24289,77,0.05
24290,418.5,0.04
24291,69,0.08
24292,47,0.11
24293,197,0
24294,458,0.04
24295,116,0.11
24296,308,0.01
24297,429,0.03
24298,21,0.05
24299,19,0.08
24300,1,0
24301,136,0.08
24302,306,0.05
24306,1555.5,0.01
24307,636,0.04
24308,1022,0.04
24309,1136.5,0.09
24310,309,0.06
24311,418.5,0.04
24312,69,0.08
24313,197,0
24314,458,0.04
24315,47,0.11
24316,306,0.05
24317,77,0.05
24318,429,0.03
24319,116,0.11
24320,19,0.08
24321,136,0.08
24322,308,0.01
24323,1,0
24324,21,0.05
24325,560,0.1
24326,1555.5,0.01
24327,636,0.04
24328,560,0.1
24329,1022,0.04
24330,1136.5,0.09
24331,458,0.04
24332,116,0.11
24333,309,0.06
24334,136,0.08
24335,69,0.08
24336,418.5,0.04
24337,429,0.03
24338,21,0.05
24339,47,0.11
24340,308,0.01
24341,19,0.08
24342,77,0.05
24343,1,0
24344,197,0
24345,306,0.05
24346,1555.5,0.01
24347,1022,0.04
24348,560,0.1
24349,1136.5,0.09
24350,636,0.04
24351,418.5,0.04
24352,308,0.01
24353,116,0.11
24354,306,0.05
24355,309,0.06
24356,458,0.04
24357,429,0.03
24358,136,0.08
24359,69,0.08
24360,197,0
24361,21,0.05
24362,77,0.05
24363,1,0
24364,19,0.08
24365,47,0.11
24366,1136.5,0.09
24367,560,0.1
24368,1022,0.04
24369,636,0.04
24370,1555.5,0.01
24371,306,0.05
24372,309,0.06
24373,418.5,0.04
24374,308,0.01
24375,21,0.05
24376,429,0.03
24377,458,0.04
24378,116,0.11
24379,136,0.08
24380,197,0
24381,47,0.11
24382,69,0.08
24383,19,0.08
24384,77,0.05
24385,1,0
24386,1555.5,0.01
24387,1022,0.04
24388,560,0.1
24389,309,0.06
24390,1136.5,0.09
24391,418.5,0.04
24392,458,0.04
24393,308,0.01
24394,69,0.08
24395,116,0.11
24396,306,0.05
24397,197,0
24398,136,0.08
24399,19,0.08
24400,1,0
24401,636,0.04
24402,429,0.03
24403,21,0.05
24404,47,0.11
24405,77,0.05
24406,1136.5,0.09
24407,636,0.04
24408,69,0.08
24409,136,0.08
24410,418.5,0.04
24411,197,0
24412,47,0.11
24413,77,0.05
24414,1555.5,0.01
24415,1,0
24416,19,0.08
24417,308,0.01
24418,21,0.05
24419,309,0.06
24420,1022,0.04
24421,116,0.11
24422,560,0.1
24423,306,0.05
24424,458,0.04
24425,429,0.03
24426,1555.5,0.01
24427,1136.5,0.09
24428,636,0.04
24429,560,0.1
24430,418.5,0.04
24431,309,0.06
24432,308,0.01
24433,1022,0.04
24434,306,0.05
24435,197,0
24436,429,0.03
24437,116,0.11
24438,77,0.05
24439,458,0.04
24440,69,0.08
24441,19,0.08
24442,136,0.08
24443,21,0.05
24444,1,0
24445,47,0.11
24446,560,0.1
24447,1555.5,0.01
24448,1022,0.04
24449,636,0.04
24450,197,0
24451,429,0.03
24452,69,0.08
24453,116,0.11
24454,309,0.06
24455,136,0.08
24456,306,0.05
24457,77,0.05
24458,47,0.11
24459,458,0.04
24460,19,0.08
24461,308,0.01
24462,1,0
24463,21,0.05
24464,418.5,0.04
24465,1136.5,0.09
24466,560,0.1
24467,1022,0.04
24468,1555.5,0.01
24469,458,0.04
24470,116,0.11
24471,197,0
24472,429,0.03
24473,1136.5,0.09
24474,21,0.05
24475,306,0.05
24476,309,0.06
24477,136,0.08
24478,636,0.04
24479,19,0.08
24480,308,0.01
24481,47,0.11
24482,1,0
24483,77,0.05
24484,69,0.08
24485,418.5,0.04
24486,636,0.04
24487,560,0.1
24488,1136.5,0.09
24489,1555.5,0.01
24490,1022,0.04
24491,197,0
24492,306,0.05
24493,309,0.06
24494,116,0.11
24495,21,0.05
24496,47,0.11
24497,418.5,0.04
24498,136,0.08
24499,458,0.04
24500,69,0.08
24501,1,0
24502,77,0.05
24503,308,0.01
24504,429,0.03
24505,19,0.08
24506,1555.5,0.01
24507,1022,0.04
24508,560,0.1
24509,1136.5,0.09
24510,197,0
24511,418.5,0.04
24512,429,0.03
24513,306,0.05
24514,77,0.05
24515,116,0.11
24516,136,0.08
24517,69,0.08
24518,308,0.01
24519,309,0.06
24520,21,0.05
24521,1,0
24522,19,0.08
24523,636,0.04
24524,458,0.04
24525,47,0.11
24526,1022,0.04
24527,636,0.04
24528,1555.5,0.01
24529,197,0
24530,418.5,0.04
24531,560,0.1
24532,309,0.06
24533,429,0.03
24534,136,0.08
24535,69,0.08
24536,306,0.05
24537,308,0.01
24538,47,0.11
24539,21,0.05
24540,77,0.05
24541,19,0.08
24542,1,0
24543,1136.5,0.09
24544,458,0.04
24545,116,0.11
24546,1555.5,0.01
24547,636,0.04
24548,1022,0.04
24549,560,0.1
24550,197,0
24551,1136.5,0.09
24552,429,0.03
24553,458,0.04
24554,309,0.06
24555,116,0.11
24556,69,0.08
24557,136,0.08
24558,418.5,0.04
24559,21,0.05
24560,77,0.05
24561,19,0.08
24562,47,0.11
24563,1,0
24564,308,0.01
24565,306,0.05
24626,1022,0.04
24566,1022,0.04
24567,1555.5,0.01
24568,1136.5,0.09
24569,560,0.1
24570,197,0
24571,458,0.04
24572,306,0.05
