resultId,total_points_driver,average_col_acc
25273,418.5,0.04
25274,136,0.08
25275,185,0.07
25276,21,0.05
25277,308,0.01
25278,458,0.04
25279,32,0.05
25280,19,0.08
25281,131,0.05
25282,7,0.1
25283,636,0.04
25284,0,0.09
25285,0,0.14
25286,1136.5,0.09
25287,1555.5,0.01
25288,429,0.03
25289,560,0.1
25290,458,0.04
25291,1022,0.04
25292,418.5,0.04
25293,306,0.05
25294,32,0.05
25295,636,0.04
25296,21,0.05
25297,136,0.08
25298,308,0.01
25299,19,0.08
25300,7,0.1
25301,0,0.09
25302,0,0.14
25303,131,0.05
25304,185,0.07
25305,309,0.06
25306,1136.5,0.09
25307,1555.5,0.01
25308,429,0.03
25309,309,0.06
25310,560,0.1
25311,418.5,0.04
25312,636,0.04
25313,308,0.01
25314,131,0.05
25315,306,0.05
25316,21,0.05
25317,458,0.04
25318,185,0.07
25319,136,0.08
25320,1022,0.04
25321,19,0.08
25322,7,0.1
25323,0,0.14
25324,0,0.09
25325,32,0.05
25326,1555.5,0.01
25327,1136.5,0.09
25328,1022,0.04
25329,429,0.03
25330,560,0.1
25331,418.5,0.04
25332,309,0.06
25333,185,0.07
25334,131,0.05
25335,306,0.05
25336,636,0.04
25337,308,0.01
25338,19,0.08
25339,21,0.05
25340,32,0.05
25341,7,0.1
25342,0,0.14
25343,0,0.09
25344,458,0.04
25345,136,0.08
25346,1555.5,0.01
25347,1136.5,0.09
25348,131,0.05
25349,429,0.03
25350,185,0.07
25351,136,0.08
25352,418.5,0.04
25353,560,0.1
25354,306,0.05
25355,636,0.04
25356,309,0.06
25357,458,0.04
25358,32,0.05
25359,308,0.01
25360,21,0.05
25361,0,0.09
25362,19,0.08
25363,0,0.14
25364,7,0.1
25365,1022,0.04
25366,1555.5,0.01
25367,1136.5,0.09
25368,1022,0.04
25369,185,0.07
25370,458,0.04
25371,309,0.06
25372,560,0.1
25373,418.5,0.04
25374,21,0.05
25375,306,0.05
25376,136,0.08
25377,7,0.1
25378,131,0.05
25379,32,0.05
25380,308,0.01
25381,636,0.04
25382,429,0.03
25383,0,0.14
25384,19,0.08
25385,0,0.09
25386,1136.5,0.09
25387,1555.5,0.01
25388,418.5,0.04
25389,32,0.05
25390,309,0.06
25391,1022,0.04
25392,306,0.05
25393,131,0.05
25394,185,0.07
25395,560,0.1
25396,636,0.04
25397,458,0.04
25398,136,0.08
25399,0,0.09
25400,429,0.03
25401,7,0.1
25402,21,0.05
25403,19,0.08
25404,308,0.01
