,constructorId,positionOrder,circuitId,sumpits
12,1,5,3,6.0
1385,214,19,3,3.0
597,9,2,3,13.0
1199,211,1,3,3.0
6,1,4,3,12.0
577,6,20,3,0.0
1299,213,9,3,3.0
1043,131,8,3,13.0
1201,211,3,3,1.0
37,1,7,3,6.0
374,5,4,3,3.0
514,6,6,3,3.0
644,9,5,3,6.0
1065,210,5,3,3.0
273,4,5,3,3.0
882,51,16,3,6.0
48,1,8,3,3.0
1281,213,6,3,3.0
289,4,7,3,6.0
1103,210,13,3,9.0
193,3,16,3,9.0
998,131,3,3,7.0
822,51,11,3,6.0
501,6,5,3,6.0
279,4,6,3,3.0
628,9,4,3,3.0
532,6,8,3,3.0
657,9,6,3,3.0
749,10,16,4,1.0
920,117,11,4,3.0
233,3,18,4,6.0
148,3,11,4,1.0
290,4,7,4,1.0
1300,213,9,4,3.0
365,4,20,4,0.0
194,3,16,4,6.0
338,4,13,4,2.0
1305,213,10,4,3.0
781,15,13,4,1.0
883,51,16,4,6.0
868,51,15,4,3.0
331,4,12,4,3.0
169,3,14,4,9.0
832,51,12,4,1.0
1264,211,19,4,1.0
768,15,10,4,1.0
1314,213,12,4,3.0
213,3,17,4,6.0
1121,210,15,4,1.0
326,4,11,4,1.0
1337,213,20,4,0.0
398,5,11,4,3.0
70,1,10,4,3.0
1071,210,7,4,3.0
486,6,4,4,9.0
978,131,2,4,4.0
658,9,6,4,3.0
1361,214,9,4,1.0
502,6,5,4,3.0
645,9,5,4,4.0
1068,210,6,4,1.0
999,131,3,4,9.0
672,9,8,4,3.0
49,1,8,4,7.0
525,6,7,4,4.0
1208,211,5,4,1.0
614,9,3,4,4.0
1203,211,4,4,3.0
27,1,6,4,6.0
1383,214,17,4,3.0
565,6,17,4,0.0
598,9,2,4,6.0
578,6,20,4,1.0
1179,210,19,4,6.0
1162,210,18,4,3.0
854,51,14,4,6.0
438,5,19,4,0.0
730,10,9,4,3.0
109,1,15,4,1.0
950,131,1,4,13.0
1085,210,10,4,3.0
1257,211,15,4,3.0
930,117,13,4,3.0
133,1,20,4,1.0
408,5,12,4,3.0
383,5,9,4,3.0
1382,214,16,5,1.0
1200,211,2,5,1.0
914,117,9,5,1.0
13,1,5,5,3.0
245,3,19,5,3.0
1282,213,6,5,1.0
1180,210,19,5,1.0
823,51,11,5,1.0
1370,214,10,5,0.0
1146,210,17,5,3.0
533,6,8,5,1.0
214,3,17,5,1.0
38,1,7,5,1.0
941,117,18,5,3.0
615,9,3,5,1.0
1227,211,9,5,3.0
599,9,2,5,1.0
1024,131,5,5,1.0
1050,131,14,5,3.0
833,51,12,5,1.0
869,51,15,5,6.0
1189,210,20,5,1.0
94,1,13,5,1.0
50,1,8,5,3.0
180,3,15,5,1.0
669,9,7,5,3.0
487,6,4,5,4.0
327,4,11,5,3.0
471,6,3,5,3.0
659,9,6,5,6.0
1323,213,14,5,1.0
951,131,1,5,2.0
1319,213,13,5,3.0
318,4,10,5,3.0
902,51,20,5,1.0
1315,213,12,5,1.0
195,3,16,5,3.0
1163,210,18,5,3.0
457,6,2,6,3.0
1164,210,18,6,1.0
677,9,9,6,1.0
380,5,8,6,1.0
339,4,13,6,1.0
579,6,20,6,3.0
774,15,11,6,1.0
1114,210,14,6,1.0
742,10,12,6,1.0
1147,210,17,6,1.0
439,5,19,6,1.0
815,51,10,6,1.0
790,15,18,6,1.0
488,6,4,6,1.0
309,4,9,6,1.0
629,9,4,6,2.0
1122,210,15,6,3.0
1283,213,6,6,1.0
824,51,11,6,1.0
377,5,7,6,2.0
297,4,8,6,1.0
646,9,5,6,3.0
1242,211,12,6,1.0
718,10,6,6,1.0
319,4,10,6,1.0
1258,211,16,6,1.0
583,9,1,6,2.0
196,3,16,6,6.0
1362,214,9,6,1.0
77,1,11,6,1.0
910,117,8,6,1.0
1000,131,3,6,4.0
87,1,12,6,1.0
215,3,17,6,6.0
889,51,17,6,1.0
1059,131,19,6,0.0
102,1,14,6,3.0
181,3,15,6,2.0
952,131,1,6,1.0
1376,214,13,6,1.0
899,51,19,6,1.0
28,1,6,6,1.0
1104,210,13,6,1.0
1025,131,5,6,1.0
1086,210,10,6,1.0
234,3,18,6,1.0
2,1,3,6,1.0
1038,131,7,6,3.0
905,117,5,6,1.0
1330,213,16,6,1.0
134,1,20,6,1.0
170,3,14,6,1.0
953,131,1,7,1.0
745,10,14,7,3.0
78,1,11,7,1.0
197,3,16,7,1.0
121,1,18,7,1.0
673,9,8,7,1.0
731,10,9,7,1.0
298,4,8,7,1.0
472,6,3,7,1.0
1148,210,17,7,1.0
135,1,20,7,0.0
458,6,2,7,1.0
451,6,1,7,1.0
399,5,11,7,1.0
1243,211,12,7,1.0
115,1,16,7,3.0
440,5,19,7,1.0
1096,210,12,7,1.0
390,5,10,7,1.0
979,131,2,7,1.0
784,15,15,7,1.0
291,4,7,7,2.0
1105,210,13,7,1.0
1115,210,14,7,1.0
235,3,18,7,3.0
1026,131,5,7,1.0
843,51,13,7,1.0
260,3,20,7,0.0
870,51,15,7,3.0
1015,131,4,7,3.0
630,9,4,7,1.0
216,3,17,7,1.0
515,6,6,7,1.0
616,9,3,7,1.0
769,15,10,7,1.0
647,9,5,7,1.0
280,4,6,7,1.0
1228,211,9,7,1.0
542,6,10,9,1.0
29,1,6,9,1.0
648,9,5,9,9.0
553,6,12,9,3.0
942,117,19,9,3.0
1190,210,20,9,4.0
735,10,10,9,3.0
563,6,16,9,3.0
1080,210,9,9,1.0
600,9,2,9,3.0
1047,131,11,9,3.0
14,1,5,9,4.0
384,5,9,9,3.0
7,1,4,9,3.0
980,131,2,9,7.0
489,6,4,9,1.0
1259,211,17,9,6.0
911,117,8,9,3.0
1333,213,18,9,0.0
155,3,12,9,5.0
1016,131,4,9,1.0
409,5,12,9,1.0
473,6,3,9,7.0
1149,210,17,9,3.0
51,1,8,9,3.0
674,9,8,9,3.0
1165,210,18,9,3.0
459,6,2,9,3.0
516,6,6,9,3.0
95,1,13,9,6.0
452,6,1,9,3.0
1363,214,9,9,3.0
631,9,4,9,1.0
688,9,15,9,3.0
1001,131,3,9,6.0
445,5,20,9,0.0
692,9,16,9,10.0
1181,210,19,9,1.0
1353,214,7,9,3.0
954,131,1,9,5.0
1215,211,7,9,6.0
1229,211,9,9,1.0
79,1,11,9,6.0
712,9,20,9,0.0
414,5,13,9,3.0
1249,211,13,9,3.0
62,1,9,9,3.0
1210,211,6,9,3.0
236,3,18,9,6.0
722,10,7,9,1.0
299,4,8,9,1.0
806,51,8,9,1.0
292,4,7,9,3.0
584,9,1,9,3.0
281,4,6,9,2.0
1310,213,11,9,9.0
890,51,17,9,6.0
1133,210,16,9,5.0
269,4,4,9,1.0
796,15,19,9,1.0
871,51,15,9,4.0
342,4,14,9,6.0
1306,213,10,9,6.0
351,4,17,9,3.0
791,15,18,9,1.0
895,51,18,9,0.0
855,51,14,9,1.0
246,3,19,9,6.0
1289,213,7,9,1.0
171,3,14,9,5.0
1267,211,20,9,0.0
320,4,10,9,1.0
844,51,13,9,3.0
182,3,15,9,2.0
419,5,14,10,3.0
785,15,15,10,6.0
96,1,13,10,3.0
686,9,14,10,10.0
723,10,7,10,1.0
460,6,2,10,15.0
713,9,20,10,0.0
955,131,1,10,1.0
981,131,2,10,3.0
1072,210,7,10,15.0
585,9,1,10,15.0
1046,131,9,10,18.0
247,3,19,10,3.0
570,6,18,10,1.0
15,1,5,10,6.0
566,6,17,10,6.0
845,51,13,10,10.0
1052,131,15,10,10.0
1204,211,4,10,15.0
834,51,12,10,10.0
217,3,17,10,3.0
632,9,4,10,6.0
274,4,5,10,6.0
1069,210,6,10,6.0
116,1,16,10,6.0
474,6,3,10,3.0
727,10,8,10,1.0
1075,210,8,10,21.0
764,15,9,10,1.0
1268,211,20,10,0.0
373,5,3,10,10.0
375,5,6,10,10.0
349,4,16,10,6.0
1090,210,11,10,6.0
149,3,11,10,15.0
122,1,18,10,3.0
358,4,19,10,1.0
332,4,12,10,6.0
145,3,10,10,15.0
391,5,10,10,3.0
343,4,14,11,4.0
1087,210,10,11,2.0
1316,213,12,11,3.0
746,10,14,11,1.0
475,6,3,11,10.0
300,4,8,11,3.0
678,9,9,11,15.0
872,51,15,11,3.0
1205,211,4,11,6.0
461,6,2,11,1.0
548,6,11,11,3.0
140,3,7,11,6.0
803,51,7,11,1.0
1116,210,14,11,3.0
1073,210,7,11,1.0
80,1,11,11,6.0
1260,211,17,11,3.0
744,10,13,11,1.0
1284,213,6,11,6.0
517,6,6,11,3.0
649,9,5,11,3.0
1002,131,3,11,6.0
63,1,9,11,4.0
376,5,6,11,1.0
633,9,4,11,1.0
1106,210,13,11,1.0
816,51,10,11,10.0
1044,131,8,11,3.0
982,131,2,11,3.0
1134,210,16,11,1.0
660,9,6,11,1.0
1055,131,16,11,0.0
218,3,17,11,1.0
490,6,4,11,1.0
1216,211,7,11,3.0
198,3,16,11,2.0
141,3,8,11,6.0
1239,211,11,11,1.0
52,1,8,11,1.0
1338,213,20,11,1.0
110,1,15,11,1.0
1347,214,4,11,6.0
426,5,15,11,1.0
333,4,12,11,4.0
248,3,19,11,16.0
708,9,19,11,0.0
1345,214,1,11,6.0
1097,210,12,11,6.0
601,9,2,11,6.0
786,15,15,11,1.0
696,9,17,11,0.0
571,6,18,11,0.0
123,1,18,11,1.0
943,117,19,11,0.0
1191,210,20,11,1.0
16,1,5,11,1.0
237,3,18,11,6.0
400,5,11,11,1.0
896,51,18,11,1.0
846,51,13,11,15.0
891,51,17,11,6.0
1278,213,5,11,10.0
945,117,20,11,6.0
798,15,20,11,0.0
97,1,13,11,3.0
956,131,1,11,10.0
392,5,10,11,1.0
310,4,9,11,1.0
1027,131,5,11,1.0
1135,210,16,13,0.0
770,15,10,13,3.0
586,9,1,13,0.0
344,4,14,13,1.0
8,1,4,13,0.0
156,3,12,13,3.0
1285,213,6,13,0.0
270,4,4,13,1.0
1003,131,3,13,11.0
249,3,19,13,0.0
219,3,17,13,1.0
556,6,13,13,1.0
1017,131,4,13,6.0
366,4,20,13,0.0
543,6,10,13,0.0
1374,214,11,13,0.0
835,51,12,13,1.0
143,3,9,13,0.0
560,6,14,13,3.0
1211,211,6,13,1.0
1048,131,12,13,0.0
847,51,13,13,0.0
617,9,3,13,4.0
534,6,8,13,0.0
1296,213,8,13,1.0
39,1,7,13,1.0
567,6,17,13,3.0
897,51,18,13,1.0
139,3,2,13,0.0
1311,213,11,13,1.0
385,5,9,13,4.0
1076,210,8,13,3.0
957,131,1,13,1.0
161,3,13,13,3.0
275,4,5,13,1.0
1354,214,7,13,0.0
453,6,1,13,4.0
129,1,19,13,1.0
693,9,16,13,0.0
792,15,18,13,0.0
1074,210,7,13,3.0
183,3,15,13,1.0
1325,213,15,13,0.0
709,9,19,13,0.0
1098,210,12,13,1.0
714,9,20,13,0.0
1150,210,17,13,3.0
717,10,5,13,3.0
420,5,14,13,3.0
111,1,15,13,6.0
719,10,6,13,3.0
328,4,11,13,3.0
103,1,14,13,0.0
301,4,8,13,3.0
906,117,5,13,0.0
884,51,16,13,6.0
946,117,20,13,0.0
136,1,20,13,0.0
1107,210,13,13,1.0
661,9,6,13,1.0
491,6,4,13,3.0
650,9,5,13,1.0
1123,210,15,13,1.0
983,131,2,13,5.0
1230,211,9,13,1.0
378,5,7,13,1.0
1235,211,10,13,4.0
81,1,11,13,1.0
199,3,16,13,3.0
787,15,15,14,3.0
1192,210,20,14,1.0
720,10,6,14,1.0
873,51,15,14,3.0
651,9,5,14,2.0
1039,131,7,14,6.0
848,51,13,14,6.0
1136,210,16,14,10.0
724,10,7,14,1.0
908,117,7,14,1.0
984,131,2,14,1.0
809,51,9,14,1.0
703,9,18,14,1.0
1004,131,3,14,5.0
697,9,17,14,4.0
1057,131,17,14,1.0
1028,131,5,14,3.0
689,9,15,14,3.0
775,15,11,14,1.0
1182,210,19,14,1.0
1099,210,12,14,3.0
856,51,14,14,1.0
662,9,6,14,1.0
958,131,1,14,1.0
1166,210,18,14,3.0
675,9,8,14,3.0
925,117,12,14,3.0
1124,210,15,14,1.0
885,51,16,14,6.0
0,1,1,14,1.0
1272,213,1,14,3.0
137,1,20,14,1.0
441,5,19,14,1.0
1244,211,12,14,3.0
1334,213,19,14,0.0
88,1,12,14,1.0
1356,214,8,14,1.0
454,6,1,14,1.0
462,6,2,14,1.0
1217,211,7,14,1.0
340,4,13,14,3.0
144,3,9,14,2.0
150,3,11,14,4.0
71,1,10,14,1.0
1301,213,9,14,3.0
1236,211,10,14,3.0
518,6,6,14,1.0
492,6,4,14,4.0
1371,214,10,14,1.0
146,3,10,14,1.0
557,6,13,14,6.0
1202,211,3,14,1.0
220,3,17,14,3.0
9,1,4,14,3.0
302,4,8,14,4.0
580,6,20,14,0.0
172,3,14,14,4.0
276,4,5,14,1.0
124,1,18,14,0.0
401,5,11,14,1.0
1,1,2,14,4.0
421,5,14,14,1.0
271,4,4,14,1.0
282,4,6,14,3.0
1339,213,20,14,0.0
572,6,18,14,1.0
476,6,3,15,1.0
200,3,16,15,3.0
427,5,15,15,3.0
663,9,6,15,2.0
381,5,8,15,1.0
750,10,16,15,6.0
503,6,5,15,1.0
1167,210,18,15,6.0
250,3,19,15,3.0
463,6,2,15,1.0
959,131,1,15,1.0
345,4,14,15,1.0
757,10,20,15,0.0
455,6,1,15,1.0
1250,211,13,15,6.0
415,5,13,15,1.0
1125,210,15,15,1.0
89,1,12,15,3.0
817,51,10,15,3.0
1265,211,19,15,1.0
261,3,20,15,1.0
433,5,17,15,3.0
1151,210,17,15,3.0
765,15,9,15,1.0
776,15,11,15,1.0
1091,210,11,15,3.0
898,51,18,15,1.0
602,9,2,15,1.0
1029,131,5,15,1.0
173,3,14,15,1.0
321,4,10,15,1.0
40,1,7,15,2.0
311,4,9,15,3.0
1018,131,4,15,2.0
303,4,8,15,1.0
618,9,3,15,1.0
174,3,14,17,1.0
312,4,9,17,3.0
41,1,7,17,1.0
221,3,17,17,1.0
1019,131,4,17,1.0
446,5,20,17,3.0
1108,210,13,17,3.0
442,5,19,17,6.0
535,6,8,17,1.0
1088,210,10,17,1.0
436,5,18,17,3.0
184,3,15,17,3.0
1245,211,12,17,3.0
104,1,14,17,3.0
1152,210,17,17,3.0
960,131,1,17,3.0
797,15,19,17,1.0
1223,211,8,17,1.0
98,1,13,17,1.0
810,51,9,17,1.0
283,4,6,17,3.0
789,15,16,17,1.0
664,9,6,17,6.0
743,10,12,17,3.0
367,4,20,17,1.0
652,9,5,17,3.0
201,3,16,17,3.0
587,9,1,17,3.0
739,10,11,17,3.0
634,9,4,17,3.0
504,6,5,17,3.0
477,6,3,17,4.0
125,1,18,17,6.0
293,4,7,17,1.0
1092,210,11,17,3.0
874,51,15,17,3.0
985,131,2,17,4.0
393,5,10,17,1.0
130,1,19,18,6.0
736,10,10,18,1.0
416,5,13,18,1.0
603,9,2,18,11.0
1109,210,13,18,3.0
105,1,14,18,1.0
402,5,11,18,1.0
568,6,17,18,3.0
284,4,6,18,3.0
573,6,18,18,3.0
747,10,15,18,3.0
588,9,1,18,6.0
372,5,2,18,3.0
120,1,17,18,3.0
3,1,3,18,1.0
1326,213,15,18,15.0
947,117,20,18,6.0
1040,131,7,18,6.0
394,5,10,18,3.0
759,15,7,18,1.0
202,3,16,18,21.0
1077,210,8,18,1.0
1030,131,5,18,3.0
857,51,14,18,10.0
478,6,3,18,1.0
1081,210,9,18,1.0
635,9,4,18,16.0
1168,210,18,18,15.0
238,3,18,18,3.0
72,1,10,18,15.0
519,6,6,18,13.0
334,4,12,18,3.0
1364,214,9,18,6.0
1231,211,9,18,3.0
53,1,8,18,3.0
921,117,11,18,10.0
505,6,5,18,10.0
1005,131,3,18,10.0
1093,210,11,18,3.0
1357,214,8,18,6.0
687,9,14,18,3.0
1266,211,19,18,3.0
799,15,20,18,1.0
348,4,15,18,6.0
800,51,4,18,3.0
1062,131,20,18,3.0
961,131,1,18,11.0
162,3,13,18,10.0
1290,213,7,18,10.0
836,51,12,18,10.0
801,51,5,18,3.0
359,4,19,18,0.0
1153,210,17,18,6.0
157,3,12,18,6.0
1327,213,15,20,3.0
175,3,14,20,3.0
818,51,10,20,3.0
354,4,18,20,0.0
1082,210,9,20,1.0
698,9,17,20,1.0
549,6,11,20,3.0
526,6,7,20,3.0
1206,211,4,20,3.0
1060,131,19,20,1.0
837,51,12,20,3.0
1224,211,8,20,3.0
962,131,1,20,3.0
262,3,20,20,1.0
1110,210,13,20,3.0
17,1,5,20,3.0
1286,213,6,20,3.0
267,4,3,20,3.0
117,1,16,20,1.0
604,9,2,20,3.0
1058,131,18,21,1.0
54,1,8,21,3.0
151,3,11,21,1.0
203,3,16,21,1.0
912,117,8,21,6.0
938,117,15,21,15.0
1372,214,10,21,6.0
858,51,14,21,10.0
1212,211,6,21,3.0
30,1,6,21,3.0
554,6,12,21,3.0
4,1,3,21,3.0
589,9,1,21,3.0
42,1,7,21,3.0
506,6,5,21,4.0
849,51,13,21,6.0
1340,213,20,21,0.0
1251,211,13,21,6.0
963,131,1,21,3.0
1154,210,17,21,10.0
699,9,17,21,1.0
811,51,9,21,1.0
263,3,20,21,0.0
1274,213,4,21,3.0
690,9,15,21,3.0
683,9,11,21,3.0
1117,210,14,21,3.0
1291,213,7,21,10.0
1317,213,12,21,6.0
986,131,2,21,6.0
819,51,10,21,1.0
251,3,19,21,1.0
268,4,3,21,1.0
493,6,4,21,3.0
1169,210,18,21,1.0
1365,214,9,21,15.0
1137,210,16,21,10.0
360,4,19,21,1.0
859,51,14,22,3.0
1126,210,15,22,3.0
838,51,12,22,3.0
204,3,16,22,4.0
1111,210,13,22,1.0
1225,211,8,22,3.0
106,1,14,22,1.0
222,3,17,22,6.0
1232,211,9,22,1.0
987,131,2,22,1.0
636,9,4,22,4.0
520,6,6,22,7.0
82,1,11,22,3.0
464,6,2,22,3.0
619,9,3,22,1.0
964,131,1,22,4.0
704,9,18,22,0.0
417,5,13,22,1.0
725,10,7,22,1.0
1006,131,3,22,3.0
112,1,15,22,1.0
403,5,11,22,1.0
507,6,5,22,1.0
395,5,10,22,1.0
793,15,18,22,3.0
322,4,10,22,1.0
1193,210,20,22,1.0
779,15,12,22,1.0
732,10,9,22,1.0
18,1,5,22,1.0
361,4,19,22,2.0
368,4,20,22,1.0
379,5,7,22,1.0
1078,210,8,22,1.0
19,1,5,24,1.0
1020,131,4,24,1.0
43,1,7,24,3.0
1036,131,6,24,1.0
1031,131,5,24,3.0
1007,131,3,24,0.0
205,3,16,24,1.0
31,1,6,24,1.0
1312,213,11,24,1.0
163,3,13,24,1.0
83,1,11,24,1.0
1366,214,9,24,1.0
922,117,11,24,1.0
1089,210,10,24,1.0
931,117,13,24,3.0
1083,210,9,24,1.0
892,51,17,24,1.0
107,1,14,24,1.0
55,1,8,24,1.0
965,131,1,24,2.0
185,3,15,24,2.0
900,51,19,24,1.0
886,51,16,24,4.0
73,1,10,24,3.0
