,constructorId,positionOrder,circuitId,sumpits
1220,211,7,70,1.0
595,9,1,70,6.0
1256,211,14,70,1.0
1061,131,19,70,0.0
45,1,7,70,1.0
1380,214,14,70,1.0
1112,210,13,70,1.0
863,51,14,70,7.0
33,1,6,70,1.0
1064,210,4,70,1.0
940,117,17,70,3.0
877,51,15,70,2.0
933,117,13,70,3.0
1066,210,5,70,1.0
1343,213,20,70,0.0
100,1,13,70,1.0
993,131,2,70,8.0
113,1,15,70,3.0
969,131,1,70,4.0
1100,210,12,70,1.0
1373,214,10,70,1.0
58,1,8,70,2.0
1011,131,3,70,2.0
1369,214,9,70,1.0
65,1,9,70,3.0
1034,131,5,70,1.0
166,3,13,70,3.0
5,1,3,70,7.0
812,51,9,70,7.0
1328,213,15,70,3.0
820,51,10,70,1.0
913,117,8,70,1.0
928,117,12,70,1.0
773,15,10,70,1.0
1023,131,4,70,4.0
152,3,11,70,7.0
22,1,5,70,8.0
1056,131,16,70,3.0
827,51,11,70,2.0
1079,210,8,71,1.0
1084,210,9,71,1.0
296,4,7,71,1.0
277,4,5,71,1.0
324,4,10,71,3.0
59,1,8,71,1.0
970,131,1,71,6.0
1207,211,4,71,1.0
783,15,13,71,3.0
352,4,17,71,1.0
1221,211,7,71,1.0
10,1,4,71,3.0
412,5,12,71,3.0
364,4,19,71,1.0
424,5,14,71,1.0
443,5,19,71,0.0
448,5,20,71,1.0
1241,211,11,71,1.0
46,1,7,71,3.0
1012,131,3,71,1.0
483,6,3,71,7.0
34,1,6,71,1.0
497,6,4,71,1.0
994,131,2,71,2.0
523,6,6,71,1.0
337,4,12,71,1.0
1270,211,20,71,0.0
1381,214,14,71,3.0
559,6,13,71,1.0
929,117,12,71,3.0
574,6,18,71,1.0
562,6,15,71,3.0
668,9,6,71,1.0
679,9,9,71,3.0
681,9,10,71,3.0
114,1,15,71,3.0
864,51,14,71,1.0
1159,210,17,71,3.0
119,1,16,71,1.0
852,51,13,71,3.0
655,9,5,71,2.0
209,3,16,71,4.0
147,3,10,71,3.0
189,3,15,71,1.0
828,51,11,71,1.0
733,10,9,71,1.0
737,10,10,71,1.0
1332,213,17,71,6.0
808,51,8,71,3.0
1321,213,13,71,3.0
762,15,7,71,1.0
131,1,19,71,0.0
229,3,17,71,1.0
878,51,15,71,3.0
108,1,14,71,1.0
1197,210,20,71,1.0
923,117,11,71,3.0
608,9,2,71,4.0
256,3,19,71,1.0
1095,210,11,71,1.0
1304,213,9,71,3.0
888,51,16,71,3.0
1298,213,8,71,1.0
1035,131,5,71,3.0
1101,210,12,71,1.0
1175,210,18,71,3.0
640,9,4,71,1.0
243,3,18,71,7.0
1351,214,6,71,3.0
371,4,20,73,1.0
265,3,20,73,0.0
278,4,5,73,3.0
60,1,8,73,3.0
346,4,14,73,3.0
230,3,17,73,10.0
66,1,9,73,16.0
23,1,5,73,6.0
190,3,15,73,3.0
142,3,8,73,3.0
47,1,7,73,4.0
210,3,16,73,9.0
1273,213,3,73,6.0
1352,214,6,73,10.0
356,4,18,73,0.0
1294,213,7,73,6.0
1388,214,20,73,0.0
1119,210,14,73,21.0
758,15,6,73,3.0
641,9,4,73,1.0
1113,210,13,73,21.0
756,10,19,73,0.0
995,131,2,73,1.0
716,10,3,73,3.0
596,9,1,73,6.0
706,9,18,73,1.0
971,131,1,73,4.0
701,9,17,73,1.0
944,117,19,73,0.0
829,51,11,73,10.0
695,9,16,73,1.0
904,117,2,73,6.0
1176,210,18,73,1.0
777,15,11,73,10.0
1130,210,15,73,3.0
397,5,10,73,6.0
1049,131,12,73,6.0
498,6,4,73,9.0
468,6,2,73,3.0
1054,131,15,73,3.0
444,5,19,73,1.0
513,6,5,73,3.0
1233,211,9,73,1.0
821,51,10,73,7.0
413,5,12,73,3.0
840,51,12,73,1.0
1051,131,14,73,1.0
406,5,11,73,1.0
1214,211,6,73,1.0
537,6,8,73,6.0
484,6,3,73,1.0
1160,210,17,75,7.0
1308,213,10,75,6.0
684,9,12,75,3.0
1329,213,15,75,6.0
903,51,20,75,0.0
101,1,13,75,3.0
1336,213,19,75,3.0
879,51,15,75,1.0
1141,210,16,75,1.0
830,51,11,75,1.0
841,51,12,75,6.0
211,3,16,75,6.0
1355,214,7,75,6.0
178,3,14,75,1.0
67,1,9,75,6.0
499,6,4,75,1.0
524,6,6,75,6.0
1222,211,7,75,3.0
1271,211,20,75,3.0
316,4,9,75,1.0
307,4,8,75,1.0
1013,131,3,75,10.0
1280,213,5,75,1.0
996,131,2,75,1.0
546,6,10,75,1.0
24,1,5,75,6.0
642,9,4,75,6.0
551,6,11,75,6.0
972,131,1,75,11.0
609,9,2,75,10.0
1187,210,19,75,10.0
936,117,14,75,6.0
244,3,18,75,7.0
934,117,13,75,6.0
1360,214,8,75,6.0
35,1,6,75,1.0
625,9,3,75,1.0
1344,213,20,76,0.0
36,1,6,76,15.0
973,131,1,76,15.0
1102,210,12,76,15.0
997,131,2,76,15.0
894,51,17,76,0.0
127,1,18,76,0.0
1254,211,13,76,6.0
272,4,4,76,15.0
626,9,3,76,15.0
1295,213,7,76,15.0
191,3,15,76,0.0
710,9,19,76,0.0
547,6,10,76,21.0
1209,211,5,76,15.0
153,3,11,76,15.0
538,6,8,76,15.0
813,51,9,76,21.0
347,4,14,76,1.0
1142,210,16,76,0.0
539,6,8,77,3.0
1378,214,13,77,10.0
25,1,5,77,3.0
924,117,11,77,6.0
1198,210,20,77,0.0
1014,131,3,77,6.0
1287,213,6,77,3.0
974,131,1,77,6.0
257,3,19,77,3.0
610,9,2,77,3.0
939,117,16,77,3.0
160,3,12,77,6.0
530,6,7,77,6.0
1348,214,4,77,3.0
1177,210,18,77,1.0
814,51,9,77,3.0
76,1,10,77,6.0
1324,213,14,77,6.0
702,9,17,77,3.0
880,51,15,77,6.0
531,6,7,78,1.0
1322,213,13,78,3.0
865,51,14,78,3.0
1143,210,16,78,1.0
540,6,8,78,1.0
1346,214,3,78,1.0
881,51,15,78,3.0
1178,210,18,78,1.0
907,117,6,78,1.0
1349,214,5,78,1.0
975,131,1,78,1.0
1313,213,11,78,3.0
258,3,19,78,1.0
93,1,12,78,1.0
643,9,4,78,3.0
611,9,2,78,6.0
231,3,17,78,3.0
68,1,9,78,3.0
1063,131,20,78,1.0
919,117,10,78,1.0
