,constructorId,positionOrder,circuitId,sumpoints
279,4,6,3,8.0
628,9,4,3,12.0
532,6,8,3,4.0
657,9,6,3,8.0
749,10,16,4,0.0
920,117,11,4,0.0
233,3,18,4,0.0
148,3,11,4,0.0
290,4,7,4,6.0
1300,213,9,4,2.0
365,4,20,4,0.0
194,3,16,4,0.0
338,4,13,4,0.0
1305,213,10,4,1.0
781,15,13,4,0.0
883,51,16,4,0.0
868,51,15,4,0.0
331,4,12,4,0.0
169,3,14,4,0.0
832,51,12,4,0.0
1264,211,19,4,0.0
768,15,10,4,1.0
1314,213,12,4,0.0
213,3,17,4,0.0
1121,210,15,4,0.0
326,4,11,4,0.0
1337,213,20,4,0.0
398,5,11,4,0.0
70,1,10,4,1.0
1071,210,7,4,6.0
486,6,4,4,36.0
978,131,2,4,36.0
658,9,6,4,8.0
1361,214,9,4,2.0
502,6,5,4,10.0
645,9,5,4,20.0
1068,210,6,4,8.0
999,131,3,4,31.0
672,9,8,4,4.0
49,1,8,4,12.0
525,6,7,4,12.0
1208,211,5,4,10.0
614,9,3,4,30.0
1203,211,4,4,12.0
27,1,6,4,16.0
1383,214,17,4,0.0
565,6,17,4,0.0
598,9,2,4,37.0
578,6,20,4,0.0
1179,210,19,4,0.0
1162,210,18,4,0.0
854,51,14,4,0.0
438,5,19,4,0.0
730,10,9,4,2.0
109,1,15,4,0.0
950,131,1,4,101.0
1085,210,10,4,1.0
1257,211,15,4,0.0
930,117,13,4,0.0
133,1,20,4,0.0
408,5,12,4,0.0
383,5,9,4,2.0
1382,214,16,5,0.0
1200,211,2,5,18.0
914,117,9,5,2.0
13,1,5,5,10.0
245,3,19,5,0.0
1282,213,6,5,8.0
1180,210,19,5,0.0
823,51,11,5,0.0
1370,214,10,5,1.0
1146,210,17,5,0.0
533,6,8,5,4.0
214,3,17,5,0.0
38,1,7,5,6.0
941,117,18,5,0.0
615,9,3,5,15.0
1227,211,9,5,2.0
599,9,2,5,18.0
1024,131,5,5,10.0
1050,131,14,5,0.0
833,51,12,5,0.0
869,51,15,5,0.0
1189,210,20,5,0.0
94,1,13,5,0.0
50,1,8,5,5.0
180,3,15,5,0.0
669,9,7,5,6.0
487,6,4,5,24.0
327,4,11,5,0.0
471,6,3,5,15.0
659,9,6,5,8.0
1323,213,14,5,0.0
951,131,1,5,51.0
1319,213,13,5,0.0
318,4,10,5,1.0
902,51,20,5,0.0
1315,213,12,5,0.0
195,3,16,5,0.0
1163,210,18,5,0.0
457,6,2,6,54.0
1164,210,18,6,0.0
677,9,9,6,2.0
380,5,8,6,4.0
339,4,13,6,0.0
579,6,20,6,0.0
774,15,11,6,0.0
1114,210,14,6,0.0
742,10,12,6,0.0
1147,210,17,6,0.0
439,5,19,6,0.0
815,51,10,6,1.0
790,15,18,6,0.0
488,6,4,6,12.0
309,4,9,6,2.0
629,9,4,6,24.0
1122,210,15,6,0.0
1283,213,6,6,8.0
824,51,11,6,0.0
377,5,7,6,12.0
297,4,8,6,4.0
646,9,5,6,11.0
1242,211,12,6,0.0
718,10,6,6,8.0
319,4,10,6,1.0
1258,211,16,6,0.0
583,9,1,6,50.0
196,3,16,6,0.0
1362,214,9,6,2.0
77,1,11,6,0.0
910,117,8,6,4.0
1000,131,3,6,30.0
87,1,12,6,0.0
215,3,17,6,0.0
889,51,17,6,0.0
1059,131,19,6,0.0
102,1,14,6,0.0
181,3,15,6,0.0
952,131,1,6,25.0
1376,214,13,6,0.0
899,51,19,6,0.0
28,1,6,6,8.0
1104,210,13,6,0.0
1025,131,5,6,10.0
1086,210,10,6,1.0
234,3,18,6,0.0
2,1,3,6,15.0
1038,131,7,6,7.0
905,117,5,6,10.0
1330,213,16,6,0.0
134,1,20,6,0.0
170,3,14,6,0.0
953,131,1,7,25.0
