,constructorId,positionOrder,circuitId,sumpoints
434,5,17,70,0.0
363,4,19,70,0.0
1240,211,11,70,0.0
467,6,2,70,54.0
1262,211,18,70,0.0
482,6,3,70,15.0
355,4,18,70,0.0
496,6,4,70,12.0
512,6,5,70,10.0
341,4,13,70,0.0
242,3,18,70,0.0
522,6,6,70,8.0
529,6,7,70,6.0
336,4,12,70,0.0
536,6,8,70,4.0
1213,211,6,70,16.0
306,4,8,70,8.0
545,6,10,70,1.0
576,6,19,70,0.0
582,6,20,70,0.0
264,3,20,70,0.0
255,3,19,70,0.0
1293,213,7,70,6.0
1186,210,19,70,0.0
624,9,3,70,15.0
1220,211,7,70,6.0
595,9,1,70,102.0
1256,211,14,70,0.0
1061,131,19,70,0.0
45,1,7,70,6.0
1380,214,14,70,0.0
1112,210,13,70,0.0
863,51,14,70,0.0
33,1,6,70,8.0
1064,210,4,70,12.0
940,117,17,70,0.0
877,51,15,70,0.0
933,117,13,70,0.0
1066,210,5,70,10.0
1343,213,20,70,0.0
100,1,13,70,0.0
993,131,2,70,55.0
113,1,15,70,0.0
969,131,1,70,50.0
1100,210,12,70,0.0
1373,214,10,70,1.0
58,1,8,70,8.0
1011,131,3,70,30.0
1369,214,9,70,2.0
65,1,9,70,3.0
1034,131,5,70,10.0
166,3,13,70,0.0
5,1,3,70,31.0
812,51,9,70,4.0
1328,213,15,70,0.0
820,51,10,70,1.0
913,117,8,70,4.0
928,117,12,70,0.0
773,15,10,70,1.0
1023,131,4,70,24.0
152,3,11,70,0.0
22,1,5,70,30.0
1056,131,16,70,0.0
827,51,11,70,0.0
1079,210,8,71,4.0
1084,210,9,71,2.0
296,4,7,71,6.0
277,4,5,71,10.0
324,4,10,71,1.0
59,1,8,71,4.0
970,131,1,71,102.0
1207,211,4,71,12.0
783,15,13,71,0.0
352,4,17,71,0.0
1221,211,7,71,6.0
10,1,4,71,12.0
412,5,12,71,0.0
364,4,19,71,0.0
424,5,14,71,0.0
443,5,19,71,0.0
448,5,20,71,0.0
1241,211,11,71,0.0
46,1,7,71,7.0
1012,131,3,71,15.0
483,6,3,71,45.0
34,1,6,71,8.0
497,6,4,71,12.0
994,131,2,71,36.0
523,6,6,71,8.0
337,4,12,71,0.0
1270,211,20,71,0.0
1381,214,14,71,0.0
559,6,13,71,0.0
929,117,12,71,0.0
574,6,18,71,0.0
562,6,15,71,0.0
668,9,6,71,8.0
679,9,9,71,2.0
681,9,10,71,1.0
114,1,15,71,0.0
864,51,14,71,0.0
1159,210,17,71,0.0
119,1,16,71,0.0
852,51,13,71,0.0
655,9,5,71,20.0
209,3,16,71,0.0
147,3,10,71,1.0
189,3,15,71,0.0
828,51,11,71,0.0
733,10,9,71,2.0
737,10,10,71,1.0
1332,213,17,71,0.0
808,51,8,71,4.0
1321,213,13,71,0.0
762,15,7,71,6.0
131,1,19,71,0.0
229,3,17,71,0.0
878,51,15,71,0.0
108,1,14,71,0.0
1197,210,20,71,0.0
923,117,11,71,0.0
608,9,2,71,36.0
256,3,19,71,0.0
1095,210,11,71,0.0
1304,213,9,71,2.0
888,51,16,71,0.0
1298,213,8,71,4.0
1035,131,5,71,10.0
1101,210,12,71,0.0
1175,210,18,71,0.0
640,9,4,71,12.0
243,3,18,71,0.0
1351,214,6,71,8.0
371,4,20,73,0.0
265,3,20,73,0.0
278,4,5,73,10.0
60,1,8,73,4.0
346,4,14,73,0.0
230,3,17,73,0.0
66,1,9,73,4.0
23,1,5,73,10.0
190,3,15,73,0.0
142,3,8,73,4.0
47,1,7,73,12.0
210,3,16,73,0.0
1273,213,3,73,15.0
1352,214,6,73,8.0
356,4,18,73,0.0
1294,213,7,73,6.0
1388,214,20,73,0.0
1119,210,14,73,0.0
758,15,6,73,8.0
641,9,4,73,12.0
1113,210,13,73,0.0
756,10,19,73,0.0
995,131,2,73,18.0
716,10,3,73,15.0
596,9,1,73,25.0
706,9,18,73,0.0
971,131,1,73,50.0
701,9,17,73,0.0
944,117,19,73,0.0
829,51,11,73,0.0
695,9,16,73,0.0
904,117,2,73,18.0
1176,210,18,73,0.0
777,15,11,73,0.0
1130,210,15,73,0.0
397,5,10,73,1.0
1049,131,12,73,0.0
498,6,4,73,24.0
468,6,2,73,18.0
1054,131,15,73,0.0
444,5,19,73,0.0
513,6,5,73,11.0
1233,211,9,73,2.0
821,51,10,73,2.0
413,5,12,73,0.0
840,51,12,73,0.0
1051,131,14,73,0.0
406,5,11,73,0.0
1214,211,6,73,8.0
537,6,8,73,4.0
484,6,3,73,15.0
1160,210,17,75,0.0
1308,213,10,75,1.0
684,9,12,75,0.0
1329,213,15,75,0.0
903,51,20,75,0.0
101,1,13,75,0.0
1336,213,19,75,0.0
879,51,15,75,0.0
1141,210,16,75,0.0
830,51,11,75,0.0
841,51,12,75,0.0
211,3,16,75,0.0
1355,214,7,75,6.0
178,3,14,75,0.0
67,1,9,75,2.0
499,6,4,75,12.0
524,6,6,75,8.0
1222,211,7,75,6.0
1271,211,20,75,0.0
316,4,9,75,2.0
307,4,8,75,4.0
1013,131,3,75,16.0
1280,213,5,75,10.0
996,131,2,75,18.0
546,6,10,75,1.0
24,1,5,75,10.0
642,9,4,75,12.0
551,6,11,75,0.0
972,131,1,75,51.0
609,9,2,75,18.0
1187,210,19,75,0.0
936,117,14,75,0.0
244,3,18,75,0.0
934,117,13,75,0.0
1360,214,8,75,4.0
35,1,6,75,8.0
625,9,3,75,15.0
1344,213,20,76,0.0
36,1,6,76,8.0
973,131,1,76,26.0
1102,210,12,76,0.0
997,131,2,76,18.0
894,51,17,76,0.0
127,1,18,76,0.0
1254,211,13,76,0.0
272,4,4,76,12.0
626,9,3,76,15.0
1295,213,7,76,6.0
191,3,15,76,0.0
710,9,19,76,0.0
547,6,10,76,1.0
1209,211,5,76,10.0
153,3,11,76,0.0
538,6,8,76,4.0
813,51,9,76,2.0
347,4,14,76,0.0
1142,210,16,76,0.0
539,6,8,77,4.0
1378,214,13,77,0.0
25,1,5,77,10.0
924,117,11,77,0.0
1198,210,20,77,0.0
1014,131,3,77,15.0
1287,213,6,77,8.0
974,131,1,77,26.0
257,3,19,77,0.0
610,9,2,77,18.0
939,117,16,77,0.0
160,3,12,77,0.0
530,6,7,77,6.0
1348,214,4,77,12.0
1177,210,18,77,0.0
814,51,9,77,2.0
76,1,10,77,1.0
1324,213,14,77,0.0
702,9,17,77,0.0
880,51,15,77,0.0
531,6,7,78,6.0
1322,213,13,78,0.0
865,51,14,78,0.0
1143,210,16,78,0.0
540,6,8,78,4.0
1346,214,3,78,15.0
881,51,15,78,0.0
1178,210,18,78,0.0
907,117,6,78,8.0
1349,214,5,78,10.0
975,131,1,78,25.0
1313,213,11,78,0.0
258,3,19,78,0.0
93,1,12,78,0.0
643,9,4,78,12.0
611,9,2,78,19.0
231,3,17,78,0.0
68,1,9,78,2.0
1063,131,20,78,0.0
919,117,10,78,1.0
