resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,total_points_driver,average_col_acc
25210,1064,844,6,16,5,5,5,5,10,71,\N,\N,58,9,01:14.8,205.033,11,560.00,0.10
25211,1064,4,214,14,9,6,6,6,8,71,\N,\N,60,7,01:14.3,206.294,11,131.00,0.05
25212,1064,832,6,55,6,7,7,7,6,71,\N,\N,45,13,01:15.3,203.725,11,418.50,0.04
25213,1064,815,9,11,0,8,8,8,4,71,\N,\N,59,4,01:13.5,208.714,11,429.00,0.03
25214,1064,839,214,31,8,9,9,9,2,71,\N,\N,54,8,01:14.7,205.321,11,185.00,0.07
25215,1064,846,1,4,13,10,10,10,1,71,\N,\N,48,6,01:14.2,206.535,11,306.00,0.05
25216,1064,817,1,3,10,11,11,11,0,71,\N,\N,59,11,01:14.9,204.65,11,458.00,0.04
25217,1064,840,117,18,12,12,12,12,0,70,\N,\N,57,15,01:15.6,202.78,12,136.00,0.08
25218,1064,20,117,5,15,13,13,13,0,70,\N,\N,63,5,01:14.0,207.312,12,636.00,0.04
25219,1064,841,51,99,7,14,14,14,0,70,\N,\N,66,12,01:15.1,204.091,12,21.00,0.05
25220,1064,9,51,88,16,15,15,15,0,70,\N,\N,44,14,01:15.4,203.234,12,1.00,  -    
25221,1064,849,3,6,0,16,16,16,0,70,\N,\N,25,18,01:15.8,202.301,12,7.00,0.10
25222,1064,847,3,63,11,17,17,17,0,69,\N,\N,57,16,01:15.6,202.734,6,19.00,0.08
25223,1064,854,210,47,17,18,18,18,0,69,\N,\N,36,19,01:15.9,201.936,13, -   ,0.09
25224,1064,852,213,22,14,\N,R,19,0,48,\N,\N,44,17,01:15.8,202.319,131,32.00,0.05
25225,1064,853,210,9,18,\N,R,20,0,41,\N,\N,35,20,01:16.1,201.567,9, -   ,0.14
25226,1065,817,1,3,2,1,1,1,27,53,21:54.4,4914365,53,1,01:24.8,245.894,1,458.00,0.04
25227,1065,846,1,4,3,2,2,2,18,53,1.747,4916112,53,3,01:25.0,245.434,1,306.00,0.05
25228,1065,822,131,77,19,3,3,3,18,53,4.921,4919286,34,2,01:24.8,245.85,1,1022.00,0.04
25229,1065,844,6,16,5,4,4,4,12,53,7.309,4921674,53,6,01:25.3,244.433,1,560.00,0.10
25230,1065,815,9,11,8,5,5,5,10,53,8.723,4923088,53,4,01:25.2,244.901,1,429.00,0.03
25231,1065,832,6,55,6,6,6,6,8,53,10.535,4924900,53,8,01:25.6,243.747,1,418.50,0.04
25232,1065,840,117,18,9,7,7,7,6,53,15.804,4930169,52,13,01:25.9,242.912,1,136.00,0.08
25233,1065,4,214,14,10,8,8,8,4,53,17.201,4931566,52,7,01:25.5,243.995,1,131.00,0.05
25234,1065,847,3,63,14,9,9,9,2,53,19.742,4934107,53,11,01:25.8,242.963,1,19.00,0.08
25235,1065,839,214,31,12,10,10,10,1,53,20.868,4935233,53,9,01:25.6,243.727,1,185.00,0.07
25236,1065,849,3,6,13,11,11,11,0,53,23.743,4938108,50,16,01:26.0,242.63,1,7.00,0.10
25237,1065,20,117,5,11,12,12,12,0,53,24.621,4938986,50,15,01:25.9,242.672,1,636.00,0.04
25238,1065,841,51,99,7,13,13,13,0,53,27.216,4941581,50,10,01:25.7,243.295,1,21.00,0.05
25239,1065,9,51,88,17,14,14,14,0,53,29.769,4944134,53,12,01:25.8,242.924,1,1.00,  -    
